4 4 0 0.3     4.14 15.82      0.000269473 14.0512 0 0 1.75828 0.00763422 29760.2      0 1.90735e-05  1 13.7697  0 0  0 0  0 1.04265  2 0.00266504  3 29558       3 0.000445843  0 14.7671  0 0  0 0  1 2.03964  0 0.0222549  0 30078 
4 4 0 0.3     2.07 16.62      0.000541568 14.6243 0 0 1.98438 0.00820929 29760.2      2 3.19481e-05  0 14.2126  0 0  0 0  2 1.2954  2 0.00262785  3 29558       3 0.000727177  2 15.3138  0 0  0 0  0 2.3958  0 0.02492  0 30078 
1 4 0 0.3     7.28 29.22      5.96046e-06 29.1967 0 0 0.0147307 0.00978804 119022      0 5.96046e-06  0 29.1967  0 0  0 0  0 0.0147307  0 0.00978804  0 119022       0 5.96046e-06  0 29.1967  0 0  0 0  0 0.0147307  0 0.00978804  0 119022 
1 4 0 0.3     1.46 50.65      9.77516e-06 50.6241 0 0 0 0 119017      0 9.77516e-06  0 50.6241  0 0  0 0  0 0  0 0  0 119017       0 9.77516e-06  0 50.6241  0 0  0 0  0 0  0 0  0 119017 
2 4 0 0.3     2.21 27.55      5.87702e-05 26.1101 0 0 1.43796 0.00972664 59515.5      1 1.57356e-05  1 25.919  0 0  0 0  0 1.24681  1 0.00242305  1 59025       0 0.000101805  0 26.3012  0 0  0 0  1 1.6291  0 0.0170302  0 60006 
2 4 0 0.3     1.91 25.18      0.000542641 22.514 0 0 2.65074 0.00891078 59515.5      1 2.31266e-05  0 21.4536  0 0  0 0  1 1.59095  1 0.00242043  1 59025       0 0.00106215  1 23.5743  0 0  0 0  0 3.71052  0 0.0154011  0 60006 
2 4 0 0.3     6.22 25.13      1.38283e-05 22.8704 0 0 2.25679 0.00815356 59515.5      0 1.38283e-05  1 21.4705  0 0  0 0  0 0.856857  1 0.00245738  1 59025       0 1.38283e-05  0 24.2703  0 0  0 0  1 3.65673  0 0.0138497  0 60006 
2 4 0 0.3     5.43 25.78      2.39611e-05 25.0077 0 0 0.765149 0.00756502 59515.5      0 1.40667e-05  1 24.9847  0 0  0 0  0 0.742166  1 0.00252867  1 59025       1 3.38554e-05  0 25.0307  0 0  0 0  1 0.788132  0 0.0126014  0 60006 
2 4 0 0.3     5.68 24.97      2.14577e-05 22.9974 0 0 1.96304 0.00766873 59515.5      1 1.00136e-05  1 22.2904  0 0  0 0  0 1.25598  1 0.00240016  1 59025       0 3.29018e-05  0 23.7044  0 0  0 0  1 2.67011  0 0.0129373  0 60006 
2 4 0 0.3     6.1 26.18      2.8491e-05 24.6871 0 0 1.48877 0.00799763 59515.5      0 1.00136e-05  0 24.4945  0 0  0 0  1 1.29611  1 0.0025537  1 59025       1 4.69685e-05  1 24.8798  0 0  0 0  0 1.68144  0 0.0134416  0 60006 
